ENTREZID,stat
482,-2.51696641
7177,-2.519331696
338324,-2.521567242
53616,-2.536705576
23071,-2.545429699
7412,-2.548424174
3083,-2.550233831
7075,-2.551783113
9212,-2.55637215
5523,-2.569241037
649,-2.570642247
55366,-2.582517668
9369,-2.583167079
652,-2.583643646
23411,-2.586172497
3570,-2.587405514
7369,-2.589885368
4685,-2.590217997
27242,-2.596036633
4045,-2.6073045
2811,-2.615135095
5154,-2.61691995
8600,-2.618092079
4853,-2.618789695
1794,-2.630635072
1893,-2.638185029
8534,-2.6385898
80739,-2.650034525
2308,-2.653671703
5873,-2.655574041
4283,-2.658898793
4296,-2.662312079
4921,-2.696297326
64866,-2.709852823
1604,-2.720585491
1439,-2.727299901
284,-2.733432495
5697,-2.747399618
7249,-2.758195299
4851,-2.771595051
2260,-2.778377585
57463,-2.78806232
5684,-2.799422493
54788,-2.81352072
5275,-2.814005899
6091,-2.821120696
4958,-2.823283443
10507,-2.832633978
9353,-2.83690589
23547,-2.847714261
27120,-2.855074769
7010,-2.863606914
80781,-2.865354879
1380,-2.86581876
3818,-2.868421353
54838,-2.869142009
4915,-2.879846931
840,-2.884418508
1839,-2.891975155
5101,-2.8972702
5698,-2.899156489
91653,-2.907337015
25939,-2.937009001
100,-2.945050269
6363,-2.980937163
5155,-2.988216606
921,-2.994040916
3482,-3.003150896
655,-3.008478851
8576,-3.019344326
1382,-3.032044583
4978,-3.064423863
2324,-3.067929768
6352,-3.075913258
58487,-3.093989373
9465,-3.107092258
253980,-3.10736286
3596,-3.115334266
710,-3.126341777
3290,-3.127274293
56920,-3.137162375
5950,-3.149222982
598,-3.162007143
257194,-3.174870232
1630,-3.178885711
23410,-3.188608315
11315,-3.212593784
2322,-3.255286741
148113,-3.259611157
9255,-3.271425834
2619,-3.277433599
2641,-3.285993741
6092,-3.288754564
135228,-3.291379933
10244,-3.309931212
25797,-3.318879304
1464,-3.321987309
214,-3.322836723
93145,-3.345953661
6418,-3.347819698
5368,-3.351080656
7078,-3.358183332
30968,-3.366284773
3480,-3.408472864
79047,-3.418142244
54926,-3.422317148
147381,-3.427727246
2159,-3.451019666
2057,-3.451610528
8784,-3.458065151
3560,-3.465040295
2215,-3.477510673
1803,-3.479097301
146760,-3.520070234
22854,-3.526722598
116379,-3.528612519
1805,-3.528994083
51816,-3.540797421
4316,-3.545988596
10059,-3.54850483
2171,-3.55555939
22943,-3.567011417
27255,-3.607726552
54814,-3.622093945
2676,-3.644236293
84894,-3.647071751
2202,-3.6697493
84898,-3.669854837
1081,-3.671669955
100130519,-3.675973008
54209,-3.684311
718,-3.696797483
1828,-3.706118652
1075,-3.706853581
1649,-3.71008999
27304,-3.734646707
100129128,-3.743465219
152002,-3.750969825
4919,-3.75776218
4055,-3.761651452
27351,-3.766210545
3791,-3.775393588
55055,-3.788123293
3565,-3.79090343
5627,-3.810415123
10563,-3.816421145
6692,-3.834286777
91461,-3.842849841
949,-3.858284162
5655,-3.872121277
1356,-3.888850743
1271,-3.909792673
84929,-3.93612339
57561,-3.937304296
1003,-3.940840312
4710,-3.941447817
5605,-3.948158671
9360,-3.959696202
335,-3.964478272
4481,-3.972487736
55327,-4.036164047
56265,-4.042197577
6361,-4.04337198
6376,-4.098813499
947,-4.102916698
3594,-4.154051244
6372,-4.159885287
1436,-4.167184995
1675,-4.175595002
9241,-4.191706374
5104,-4.204900254
5328,-4.228268272
2101,-4.243565628
3384,-4.290473683
970,-4.307636742
5118,-4.328087316
25805,-4.335235621
64094,-4.357712579
1281,-4.361868988
5008,-4.403990659
7169,-4.484129323
22925,-4.510628196
3227,-4.513578286
6349,-4.566324625
3053,-4.606483112
138046,-4.642203019
